city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
Rome_GA,50,64.0,0.0394,0.0001,0.0004,0.0
Rome_GA,50,inf,0.0201,0.0002,0.0201,0.0002
Durham_NC,25,8.0,0.142,0.0035,0.0001,0.0
Durham_NC,25,16.0,0.1383,0.0004,0.0001,0.0
Durham_NC,25,32.0,0.1392,0.0002,0.0002,0.0
Durham_NC,25,64.0,0.1446,0.0001,0.0004,0.0
Durham_NC,25,inf,0.0743,0.0001,0.0743,0.0001
Durham_NC,50,8.0,0.1484,0.0001,0.0001,0.0
Durham_NC,50,16.0,0.1459,0.0025,0.0001,0.0
Durham_NC,50,32.0,0.1485,0.0002,0.0002,0.0
Durham_NC,50,64.0,0.1436,0.0005,0.0004,0.0
Durham_NC,50,inf,0.0747,0.0002,0.0746,0.0002
Scottsdale_AZ,25,8.0,0.0671,0.0002,0.0001,0.0
Scottsdale_AZ,25,16.0,0.065,0.0001,0.0001,0.0
Scottsdale_AZ,25,32.0,0.065,0.0,0.0002,0.0
Scottsdale_AZ,25,64.0,0.0653,0.0,0.0004,0.0
Scottsdale_AZ,25,inf,0.0422,0.0,0.0422,0.0
Scottsdale_AZ,50,8.0,0.0672,0.0001,0.0001,0.0
Scottsdale_AZ,50,16.0,0.0649,0.0,0.0001,0.0
Scottsdale_AZ,50,32.0,0.065,0.0002,0.0002,0.0
Scottsdale_AZ,50,64.0,0.0645,0.0001,0.0004,0.0
Scottsdale_AZ,50,inf,0.041,0.0001,0.041,0.0001
SilverSpring_MD,25,8.0,0.1169,0.0001,0.0001,0.0
SilverSpring_MD,25,16.0,0.1146,0.0006,0.0001,0.0
SilverSpring_MD,25,32.0,0.1203,0.0003,0.0002,0.0
SilverSpring_MD,25,64.0,0.1189,0.0001,0.0003,0.0
SilverSpring_MD,25,inf,0.0631,0.0001,0.063,0.0001
SilverSpring_MD,50,8.0,0.1218,0.0005,0.0001,0.0
SilverSpring_MD,50,16.0,0.114,0.001,0.0001,0.0
SilverSpring_MD,50,32.0,0.1186,0.0009,0.0002,0.0
SilverSpring_MD,50,64.0,0.1191,0.0001,0.0003,0.0
SilverSpring_MD,50,inf,0.0622,0.0001,0.0621,0.0001
Richland_WA,25,8.0,0.0552,0.0002,0.0001,0.0
Richland_WA,25,16.0,0.055,0.0001,0.0001,0.0
Richland_WA,25,32.0,0.0532,0.0001,0.0002,0.0
Richland_WA,25,64.0,0.0551,0.0001,0.0004,0.0
Richland_WA,25,inf,0.0345,0.0,0.0344,0.0
Richland_WA,50,8.0,0.0524,0.0001,0.0001,0.0
Richland_WA,50,16.0,0.0537,0.0001,0.0001,0.0
Richland_WA,50,32.0,0.0536,0.0,0.0002,0.0
Richland_WA,50,64.0,0.0542,0.0001,0.0003,0.0
Richland_WA,50,inf,0.0337,0.0,0.0336,0.0
